test data			
1			
3			
170			
0			
0			
8.00	3.00	2.00000	15.83
9.00	3.00	1.00000	15.26
9.00	3.00	1.33333	16.61
9.00	3.00	1.66667	16.89
10.00	3.00	1.00000	16.39
10.00	3.00	1.33333	6.84
11.00	3.00	1.00000	17.52
0.00			
0.00			
0.00			
0.00			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
