0,R,0.20,K64,23,12:26:26,U,0.00038,I,0.0019
1,R,0.01,K64,23,12:26:40,U,0.000016,I,0.0018
2,R,0.07,K64,23,12:26:53,U,0.00013,I,0.0019
3,R,0.02,K64,23,12:27:05,U,0.000038,I,0.0019
4,R,0.06,K64,23,12:27:19,U,0.00011,I,0.0019
5,R,0.04,K64,23,12:27:30,U,0.000076,I,0.0019
6,R,0.03,K64,23,12:27:41,U,0.000064,I,0.0019
7,R,0.04,K64,23,12:27:53,U,0.000075,I,0.0019
8,R,0.02,K64,23,12:28:04,U,0.000028,I,0.0018
9,R,0.10,K64,23,12:28:15,U,0.00019,I,0.0019
10,R,0.06,K64,23,12:28:25,U,0.00011,I,0.0019
11,R,0.01,K32,23,12:28:47,U,0.000016,I,0.0011
12,R,0.11,K32,23,12:28:57,U,0.00012,I,0.0011
13,R,0.01,K32,23,12:29:09,U,0.000011,I,0.0011
14,R,0.22,K32,23,12:29:22,U,0.00025,I,0.0011
15,R,0.13,K32,23,12:29:35,U,0.00014,I,0.0011
16,R,0.11,K32,23,12:29:46,U,0.00012,I,0.0011
17,R,0.09,K32,23,12:29:56,U,0.00010,I,0.0011
18,R,0.03,K32,23,12:30:07,U,0.000037,I,0.0011
19,R,0.16,K32,23,12:30:17,U,0.00018,I,0.0011
20,R,0.18,K32,23,12:30:28,U,0.00020,I,0.0011
21,R,0.13,K32,23,12:30:41,U,0.00015,I,0.0011
22,R,0.37,K48,23,12:31:07,U,0.00044,I,0.0012
23,R,0.14,K48,23,12:31:18,U,0.00017,I,0.0012
24,R,0.13,K48,23,12:31:29,U,0.00015,I,0.0012
25,R,0.10,K48,23,12:31:40,U,0.00012,I,0.0012
26,R,0.06,K48,23,12:31:52,U,0.000074,I,0.0012
27,R,0.07,K48,23,12:32:03,U,0.000079,I,0.0012
28,R,0.00,K48,23,12:32:14,U,0.0000012,I,0.00087
29,R,0.14,K48,23,12:32:25,U,0.00017,I,0.0012
30,R,0.14,K48,23,12:32:35,U,0.00017,I,0.0012
31,R,0.09,K48,23,12:32:48,U,0.00010,I,0.0012
32,R,0.30,K48,23,12:32:59,U,0.00036,I,0.0012
33,R,0.47,K48,23,12:33:21,U,0.00056,I,0.0012
34,R,0.10,K48,23,12:33:33,U,0.00011,I,0.0012
35,R,0.09,K48,23,12:33:43,U,0.00010,I,0.0012
36,R,0.03,K48,23,12:33:53,U,0.000035,I,0.0011
37,R,0.06,K48,23,12:34:03,U,0.000074,I,0.0012
38,R,0.07,K48,23,12:34:14,U,0.000088,I,0.0012
39,R,0.27,K48,23,12:34:26,U,0.00032,I,0.0012
40,R,0.07,K48,23,12:34:36,U,0.000086,I,0.0012
41,R,0.24,K48,23,12:34:48,U,0.00028,I,0.0012
42,R,0.19,K48,23,12:35:00,U,0.00022,I,0.0012
43,R,0.00,K48,23,12:35:12,U,0.0000042,I,0.0010
44,R,0.48,K64,23,12:35:33,U,0.0010,I,0.0022
45,R,0.25,K64,23,12:35:43,U,0.00055,I,0.0022
46,R,0.22,K64,23,12:35:53,U,0.00049,I,0.0022
47,R,0.19,K64,23,12:36:05,U,0.00042,I,0.0022
48,R,0.19,K64,23,12:36:15,U,0.00042,I,0.0022
49,R,0.18,K64,23,12:36:25,U,0.00040,I,0.0022
50,R,0.10,K64,23,12:36:36,U,0.00022,I,0.0022
51,R,0.12,K64,23,12:36:57,U,0.00027,I,0.0022
52,R,0.14,K64,23,12:37:08,U,0.00030,I,0.0022
53,R,0.07,K64,23,12:37:19,U,0.00015,I,0.0022
54,R,0.08,K64,23,12:37:30,U,0.00018,I,0.0022
55,R,0.44,K64,23,12:37:51,U,0.00093,I,0.0021
56,R,0.33,K64,23,12:38:03,U,0.00069,I,0.0021
57,R,0.26,K64,23,12:38:16,U,0.00054,I,0.0021
58,R,0.23,K64,23,12:38:27,U,0.00048,I,0.0021
59,R,0.22,K64,23,12:38:39,U,0.00047,I,0.0021
60,R,0.12,K64,23,12:38:50,U,0.00026,I,0.0021
61,R,0.17,K64,23,12:39:07,U,0.00036,I,0.0021
62,R,0.15,K64,23,12:39:17,U,0.00032,I,0.0021
63,R,0.09,K64,23,12:39:28,U,0.00018,I,0.0021
64,R,0.10,K64,23,12:39:41,U,0.00021,I,0.0021
65,R,0.03,K64,23,12:39:53,U,0.000072,I,0.0021
66,R,0.77,K48,23,12:40:12,U,0.0010,I,0.0013
67,R,0.54,K48,23,12:40:24,U,0.00073,I,0.0013
68,R,0.48,K48,23,12:40:36,U,0.00065,I,0.0013
69,R,0.47,K48,23,12:40:47,U,0.00063,I,0.0013
70,R,0.19,K48,23,12:40:57,U,0.00025,I,0.0013
71,R,0.33,K48,23,12:41:11,U,0.00045,I,0.0013
72,R,0.22,K48,23,12:41:22,U,0.00030,I,0.0013
73,R,0.24,K48,23,12:41:33,U,0.00032,I,0.0013
74,R,0.27,K48,23,12:41:43,U,0.00037,I,0.0013
75,R,0.07,K48,23,12:41:53,U,0.00010,I,0.0013
76,R,0.49,K48,23,12:42:04,U,0.00066,I,0.0013
77,R,1.10,K64,23,12:42:30,U,0.0021,I,0.0019
78,R,0.52,K64,23,12:42:41,U,0.0010,I,0.0020
79,R,0.41,K64,23,12:42:51,U,0.00083,I,0.0020
