,Latitude,Longitude,RESapparent,data_set
0,56.04175,37.169615,87.606,hep_1
1,56.04177705148157,37.16964739397666,72.2514,hep_1
2,56.04180410295464,37.16967978799875,74.4494,hep_1
3,56.04183115441924,37.16971218206626,85.5964,hep_1
4,56.041858205875336,37.16974457617919,109.5232,hep_1
5,56.04188525732296,37.169776970337544,77.9348,hep_1
6,56.04191230876209,37.169809364541315,54.5104,hep_1
7,56.04193936019276,37.169841758790504,84.4032,hep_1
8,56.04196641161492,37.169874153085125,89.3016,hep_1
9,56.041993463028604,37.169906547425164,59.4402,hep_1
10,56.04202051443378,37.16993894181062,126.8874,hep_1
11,56.042047565830494,37.16997133624151,99.4752,hep_1
12,56.04207461721872,37.17000373071781,122.7426,hep_1
13,56.042101668598455,37.170036125239534,105.6296,hep_1
14,56.042128719969696,37.17006851980669,121.2354,hep_1
15,56.04215577133246,37.17010091441926,87.8258,hep_1
16,56.04218282268674,37.17013330907725,146.6066,hep_1
17,56.04220987403254,37.17016570378067,233.4276,hep_1
18,56.04223692536984,37.17019809852951,205.5758,hep_1
19,56.04226397669866,37.17023049332377,190.3154,hep_1
20,56.042291028018994,37.17026288816346,140.5464,hep_1
21,56.04231807933084,37.17029528304857,144.3458,hep_1
22,56.04234513063421,37.170327677979095,195.7476,hep_1
23,56.04237218192908,37.17036007295505,226.4568,hep_1
24,56.04239923321546,37.17039246797643,185.888,hep_1
25,56.042426284493374,37.17042486304323,167.4562,hep_1
26,56.042453335762794,37.17045725815546,216.3774,hep_1
27,56.042480387023716,37.170489653313105,85.1568,hep_1
28,56.04250743827617,37.170522048516176,79.756,hep_1
29,56.04253448952012,37.17055444376467,78.343,hep_1
30,56.04256154075561,37.17058683905859,87.1036,hep_1
31,56.04258859198258,37.17061923439793,85.408,hep_1
32,56.042615643201074,37.170651629782704,84.4346,hep_1
33,56.042642694411086,37.17068402521289,112.3492,hep_1
34,56.04266974561261,37.170716420688514,61.544,hep_1
35,56.042696796805664,37.170748816209546,47.3826,hep_1
36,56.04272384799022,37.17078121177602,85.251,hep_1
37,56.042750899166286,37.170813607387906,110.7478,hep_1
38,56.04277795033386,37.17084600304522,102.8978,hep_1
39,56.04280500149295,37.17087839874796,101.108,hep_1
40,56.042832052643554,37.17091079449612,85.5964,hep_1
41,56.04285910378569,37.17094319028971,103.0548,hep_1
42,56.042886154919316,37.170975586128726,97.3714,hep_1
43,56.04291320604447,37.171007982013165,113.511,hep_1
44,56.042940257161135,37.17104037794303,68.609,hep_1
45,56.04296730826931,37.17107277391832,60.4764,hep_1
46,56.042994359369,37.17110516993904,66.5052,hep_1
47,56.0430214104602,37.17113756600518,90.3692,hep_1
48,56.04304846154291,37.17116996211674,80.07,hep_1
49,56.043077,37.1712041,116.6196,hep_1
