,Latitude,Longitude,RESapparent,REScorrect
0,56.040365,37.168427,111.0,98.23008015449776
1,56.04038166817073,37.16844129706932,85.0,75.22123255074153
2,56.04039833633982,37.16845559415099,45.57,40.327430203968134
3,56.04041500450725,37.16846989124501,66.75,59.07079144425879
4,56.04043167267304,37.16848418835138,87.17,77.14158636997811
5,56.04044834083716,37.1684984854701,90.75,80.30972769387992
6,56.04046500899964,37.16851278260118,87.3,77.25663060799688
7,56.04048167716046,37.16852707974461,88.72,78.5132676694328
8,56.040498345319634,37.16854137690038,64.7,57.25663230627032
9,56.04051501347714,37.16855567406851,144.7,128.0530864716741
10,56.040531681633,37.168569971248985,156.8,138.76105016419146
11,56.040548349787215,37.16858426844182,61.94,54.81415463756388
12,56.04056501793978,37.168598565647,80.6,71.32742757164432
13,56.04058168609066,37.168612862864535,92.87,82.18583372926314
14,56.040598354239926,37.168627160094424,122.8,108.6725571438948
15,56.04061502238753,37.168641457336655,127.7,113.00883996152581
16,56.040631690533466,37.16865575459125,145.5,128.76105101332814
17,56.04064835867776,37.16867005185819,139.7,123.62830808633635
18,56.04066502682038,37.16868434913748,116.1,102.74335410754225
19,56.04068169496137,37.16869864642913,176.1,155.84069473159508
20,56.040698363100724,37.16871294373312,116.8,103.36282308148954
21,56.040715031238385,37.16872724104947,111.0,98.23008015449776
22,56.040731699374405,37.16874153837817,164.7,145.75220001302503
23,56.04074836750879,37.16875583571922,115.0,101.76990286276795
24,56.0407650356415,37.16877013307262,89.94,79.59291359545522
25,56.04078170377258,37.16878443043837,143.2,126.72565295607278
26,56.04079837190199,37.16879872781648,165.4,146.37166898697234
27,56.04081504002975,37.168813025206944,227.0,200.88493869433327
28,56.04083170815586,37.16882732260975,178.3,157.7875972211437
29,56.040848376280316,37.168841620024914,172.3,152.47786315873842
30,56.04086504440313,37.168855917452426,143.4,126.9026440914863
31,56.04088171252426,37.168870214892294,138.0,122.12388343532153
32,56.04089838064375,37.16888451234451,112.1,99.20353139927205
33,56.0409150487616,37.16889880980908,244.6,216.4601586107221
34,56.04093171687779,37.168913107286,156.2,138.23007675795088
35,56.040948384992326,37.168927404775275,199.5,176.54865757497572
36,56.04096505310522,37.1689417022769,106.4,94.15928403998704
37,56.04098172121643,37.168955999790875,204.4,180.8849403926067
38,56.04099838932603,37.1689702973172,117.9,104.33627432626383
39,56.04101505743395,37.16898459485589,173.1,153.18582770039245
40,56.04103172554023,37.16899889240692,160.3,141.85839503392785
41,56.041048393644836,37.16901318997031,143.1,126.63715738836603
42,56.041065061747794,37.16902748754604,165.5,146.4601645546791
43,56.04108172984911,37.169041785134134,114.3,101.15043388882067
44,56.041098397948765,37.16905608273458,153.1,135.4867141590415
45,56.041115066046785,37.16907038034737,249.7,220.97343256376658
46,56.04113173414313,37.16908467797251,143.7,127.16813079460655
47,56.04114840223783,37.16909897561001,139.5,123.45131695092286
48,56.04116507033088,37.16911327325986,129.0,114.15928234171362
49,56.04118173842227,37.169127570922065,147.7,130.70795350287673
50,56.04119840651202,37.16914186859662,151.4,133.9822895080267
51,56.0412150746001,37.16915616628353,199.2,176.28317087185542
52,56.04123174268654,37.16917046398279,185.1,163.80529582520302
53,56.04124841077132,37.169184761694396,179.0,158.40706619509098
54,56.04126507885445,37.16919905941836,151.4,133.9822895080267
55,56.04128174693593,37.169213357154675,199.2,176.28317087185542
56,56.04129841501575,37.169227654903345,182.3,161.3274199294139
57,56.04131508309391,37.169241952664365,205.0,181.4159137988472
58,56.04133175117043,37.16925625043774,244.1,216.0176807721883
59,56.041348419245296,37.169270548223466,188.8,167.07963183035295
60,56.0413650873185,37.16928484602154,306.6,271.32741058891
61,56.04138175539006,37.16929914383197,369.7,327.1681138118723
62,56.041398423459974,37.16931344165475,264.6,234.15927215207304
63,56.04141509152822,37.16932773948989,258.0,228.31856468342724
64,56.04143175959482,37.16934203733737,364.4,322.47784872341424
65,56.041448427659766,37.169356335197214,214.0,189.38051489245515
66,56.041465095723055,37.16937063306941,197.0,174.33626838230686
67,56.0414817637847,37.16938493095395,359.9,318.49554817661027
68,56.041498431844666,37.16939922885085,262.4,232.2123696625244
69,56.041515099903,37.1694135267601,245.0,216.81414088154912
70,56.04153176795968,37.1694278246817,309.0,273.45130421387216
71,56.041548436014715,37.16944212261566,348.0,307.9645756195065
72,56.041565104068084,37.16945642056197,347.0,307.07961994243897
73,56.04158177211981,37.16947071852062,253.0,223.89378629808948
74,56.04159844016988,37.169485016491635,307.0,271.681392859737
75,56.04161510821828,37.169499314475004,173.1,153.18582770039245
76,56.04163177626505,37.16951361247072,277.2,245.30971368312413
77,56.041648444310155,37.16952791047879,309.3,273.7167909169924
78,56.04166511235361,37.169542208499216,165.6,146.54866012238583
79,56.04168178039542,37.169556506532,217.7,192.65485089760506
80,56.04169844843556,37.16957080457712,249.3,220.61945029293958
81,56.04171511647405,37.1695851026346,228.0,201.7698943714008
82,56.0417317845109,37.169599400704435,163.5,144.69025320054402
83,56.04175,37.169615,282.3,249.82298763616862
