"Начало (широта, долгота)",56.04175,37.169615
"Конец (широта, долгота)",56.043077,37.1712041
шаг (м),5,
АВ (м),1.5,
К-геом (м),3.14,
УЭС (Ом м),,
208.496,,
87.606,,
72.2514,,
74.4494,,
85.5964,,
109.5232,,
77.9348,,
54.5104,,
84.4032,,
89.3016,,
59.4402,,
126.8874,,
99.4752,,
122.7426,,
105.6296,,
121.2354,,
87.8258,,
146.6066,,
233.4276,,
205.5758,,
190.3154,,
140.5464,,
144.3458,,
195.7476,,
226.4568,,
185.888,,
167.4562,,
216.3774,,
85.1568,,
79.756,,
78.343,,
87.1036,,
85.408,,
84.4346,,
112.3492,,
61.544,,
47.3826,,
85.251,,
110.7478,,
102.8978,,
101.108,,
85.5964,,
103.0548,,
97.3714,,
113.511,,
68.609,,
60.4764,,
66.5052,,
90.3692,,
80.07,,
116.6196,,
