Latitude,Longitude,RESapparent,data_set
56.039415,37.167798,51.58571429,hep_5
56.03942822420032,37.16780726383583,47.1,hep_5
56.039441448399955,37.16781652767803,40.37142857,hep_5
56.039454672598914,37.16782579152657,47.1,hep_5
56.039467896797156,37.16783505538146,56.07142857,hep_5
56.039481120994715,37.1678443192427,56.52,hep_5
56.03949434519157,37.16785358311028,65.41666667,hep_5
56.03950756938773,37.167862846984214,60.18333333,hep_5
56.03952079358319,37.1678721108645,87.47142857,hep_5
56.03953401777798,37.16788137475114,91.58333333,hep_5
56.03954724197206,37.167890638644124,59.97752809,hep_5
56.039560466165454,37.16789990254345,53.22033898,hep_5
56.03957369035814,37.16790916644914,54.23636364,hep_5
56.039586914550156,37.167918430361176,62.06976744,hep_5
56.039600138741456,37.167927694279555,55.16216216,hep_5
56.03961336293207,37.16793695820429,52.33333333,hep_5
56.039626587121994,37.16794622213537,58.77435897,hep_5
56.039639811311226,37.1679554860728,57.49295775,hep_5
56.039653035499754,37.16796475001658,85.63636364,hep_5
56.0396662596876,37.167974013966706,59.94545455,hep_5
56.03967948387472,37.167983277923184,55.70967742,hep_5
56.03969270806118,37.167992541886015,40.45769231,hep_5
56.03970593224693,37.168001805855184,51.67088608,hep_5
56.03971915643199,37.16801106983071,41.71044776,hep_5
56.039732380616364,37.16802033381259,77.29230769,hep_5
56.039745604800025,37.16802959780082,70.90322581,hep_5
56.03975882898301,37.168038861795395,81.7260274,hep_5
56.0397720531653,37.16804812579632,78.5,hep_5
56.0397852773469,37.16805738980359,69.58918919,hep_5
56.03979850152779,37.16806665381721,76.75555556,hep_5
56.039811725708,37.168075917837186,81.11666667,hep_5
56.039824949887496,37.16808518186351,38.97931034,hep_5
56.03983817406632,37.16809444589618,74.76190476,hep_5
56.03985139824445,37.1681037099352,104.6666667,hep_5
56.039864622421874,37.16811297398057,89.71428571,hep_5
56.03987784659861,37.168122238032296,88.56410256,hep_5
56.039891070774644,37.16813150209036,84.86486486,hep_5
56.039904294949984,37.168140766154785,83.73333333,hep_5
56.03991751912465,37.168150030225554,74.575,hep_5
56.0399307432986,37.168159294302676,58.875,hep_5
56.03994396747184,37.16816855838614,23.55,hep_5
56.03995719164444,37.16817782247596,77.12280702,hep_5
56.0399704158163,37.168187086572125,74.98507463,hep_5
56.0399836399875,37.16819635067464,84.86486486,hep_5
56.03999686415796,37.16820561478351,498.0689655,hep_5
56.04001008832776,37.16821487889872,225.6875,hep_5
56.040023312496864,37.16822414302029,91.34545455,hep_5
56.04003653666527,37.16823340714821,51.71764706,hep_5
56.04004976083298,37.16824267128247,58.26804124,hep_5
56.040062985,37.168251935423086,58.61333333,hep_5
56.04007620916632,37.168261199570054,61.7704918,hep_5
56.04008943333195,37.16827046372337,54.23636364,hep_5
56.04010265749689,37.16827972788303,51.26530612,hep_5
56.04011588166113,37.16828899204904,65.72093023,hep_5
56.04012910582466,37.168298256221405,55.20879121,hep_5
56.04014232998753,37.16830752040012,74.27956989,hep_5
56.040155554149685,37.16831678458518,79.36263736,hep_5
56.04016877831116,37.16832604877659,,hep_5
56.04018200247193,37.16833531297435,,hep_5
56.040195226631994,37.168344577178466,68.03333333,hep_5
56.04020845079138,37.16835384138893,69.77777778,hep_5
56.040221674950075,37.168363105605735,84.86486486,hep_5
56.040234899108064,37.168372369828894,23.64235294,hep_5
56.040248123265364,37.168381634058406,116.7435897,hep_5
56.04026134742196,37.16839089829427,72.18390805,hep_5
56.04027457157788,37.16840016253648,70.65,hep_5
56.04028779573311,37.16840942678504,77.07272727,hep_5
56.04030101988762,37.168418691039946,119.32,hep_5
56.04031424404146,37.168427955301205,86.35,hep_5
56.0403274681946,37.16843721956881,93.21875,hep_5
56.04034069234703,37.16844648384277,39.74683544,hep_5
56.040353916498795,37.16845574812308,71.02380952,hep_5
56.04036714064984,37.16846501240974,123.7529412,hep_5
56.0403803648002,37.16847427670274,,hep_5
56.04039358894987,37.168483541002104,,hep_5
56.04040681309884,37.16849280530781,,hep_5
56.040420037247124,37.16850206961987,,hep_5
56.04043326139471,37.16851133393828,,hep_5
56.0404464855416,37.16852059826303,60.77419355,hep_5
56.04045970968779,37.16852986259414,75.36,hep_5
56.040472933833286,37.1685391269316,65.21538462,hep_5
56.04048615797811,37.1685483912754,75.36,hep_5
56.040499382122206,37.168557655625555,69.08,hep_5
56.04051260626563,37.16856691998206,65.56043956,hep_5
56.04052583040835,37.16857618434492,200.5060241,hep_5
56.04053905455039,37.168585448714126,34.25454545,hep_5
56.04055227869172,37.16859471308968,74.87692308,hep_5
56.040565502832365,37.16860397747159,71.77142857,hep_5
56.040578726972306,37.168613241859845,94.63013699,hep_5
56.04059195111158,37.16862250625445,78.5,hep_5
56.040605175250136,37.16863177065541,78.5,hep_5
56.040618399388,37.16864103506271,67.97938144,hep_5
56.04063162352518,37.16865029947637,68.50909091,hep_5
56.04064484766165,37.16865956389637,94.2,hep_5
56.040658071797445,37.16866882832272,79.92727273,hep_5
