"Начало (широта, долгота)",56.043227,37.17041
"Конец (широта, долгота)",56.044039,37.171225
шаг (м),1,
АВ (м),0.9,
К-геом (м),2.13,
УЭС (Ом м),comments,
345.4,Борщевик,
341.5,Борщевик,
347.8,Борщевик,
377.6,Борщевик,
776.7,Борщевик,
445.9,Кромка леса,
1664,Кромка леса,
801.1,Лес,
841.2,Лес,
1788,Лес,
1722,Лес,
1716,Лес,
1883,Лес,
1911,Пень,
1744,Лес,
1750,Лес,
1863,Лес,
1424,Лес,
1129,Лес,
1353,Папоротник,
1176,Лес,
1024,Поваленное дерево,
1124,Папоротник большой ,
1338,Лес,
363.4,Лес,
964,Лес,
1160,Лес,
1155,Лес,
1379,Лес,
1385,Лес,
1413,Лес,
1236,Лес,
1310,Лес,
963.5,Лес,
1195,Лес,
1532,Папоротник,
1830,Лес,
1498,Упавшее дерево,
1622,Лес,
1236,Лес,
1448,Лес,
1466,Лес,
1478,Лес,
1032,Лес,
1017,Лес,
1151,Начало разреза,
712.3,Разрез,
1493,Разрез,
1445,Конец разреза,
1730,Лес,
1948,Лес,
1885,Лес,
1952,Лес,
1952,Лес,
1324,Лес,
1020,Лес,
1400,Лес,
1756,Лес,
1549,Лес,
1792,Дерево сухое,
1067,Лес,
861.4,Лес,
1069,Лес,
911.7,Вывал,
920.1,Вывал,
1186,Вывал,
1528,Лес,
918.8,Лес,
1232,Лес,
1389,Лес,
1425,Лес,
1595,Лес,
1600,Лес,
954.8,Дерево ,
2123,Лес,
2032,Напротив могилы,
1491,Напротив могилы,
1497,Напротив могилы,
1542,Напротив могилы,
1690,Тонкое дерево,
1011,Лес,
1026,Лес,
745.2,Лес,
1140,Лес,
911.1,Лес,
761.2,Большая береза,
708.3,Склон,
