Latitude,Longitude,RESapparent,data_set,Comments
56.040365,37.168427,111.0,hep_2,
56.04038166817073,37.16844129706932,85.0,hep_2,
56.04039833633982,37.16845559415099,45.57,hep_2,
56.04041500450725,37.16846989124501,66.75,hep_2,
56.04043167267304,37.16848418835138,87.17,hep_2,
56.04044834083716,37.1684984854701,90.75,hep_2,
56.04046500899964,37.16851278260118,87.3,hep_2,
56.04048167716046,37.16852707974461,88.72,hep_2,
56.040498345319634,37.16854137690038,64.7,hep_2,
56.04051501347714,37.16855567406851,144.7,hep_2,
56.040531681633,37.168569971248985,156.8,hep_2,
56.040548349787215,37.16858426844182,61.94,hep_2,
56.04056501793978,37.168598565647,80.6,hep_2,
56.04058168609066,37.168612862864535,92.87,hep_2,
56.040598354239926,37.16862716009442,122.8,hep_2,
56.04061502238753,37.168641457336655,127.7,hep_2,
56.040631690533466,37.16865575459125,145.5,hep_2,
56.04064835867776,37.16867005185819,139.7,hep_2,
56.04066502682038,37.16868434913748,116.1,hep_2,
56.04068169496137,37.16869864642913,176.1,hep_2,
56.04069836310072,37.16871294373312,116.8,hep_2,
56.04071503123839,37.16872724104947,111.0,hep_2,
56.040731699374405,37.16874153837817,164.7,hep_2,
56.04074836750879,37.16875583571922,115.0,hep_2,
56.0407650356415,37.16877013307262,89.94,hep_2,
56.04078170377258,37.16878443043837,143.2,hep_2,
56.04079837190199,37.16879872781648,165.4,hep_2,
56.04081504002975,37.168813025206944,227.0,hep_2,
56.04083170815586,37.16882732260975,178.3,hep_2,
56.04084837628032,37.168841620024914,172.3,hep_2,
56.04086504440313,37.168855917452426,143.4,hep_2,
56.04088171252426,37.16887021489229,138.0,hep_2,
56.04089838064375,37.16888451234451,112.1,hep_2,
56.0409150487616,37.16889880980908,244.6,hep_2,
56.04093171687779,37.168913107286,156.2,hep_2,
56.040948384992326,37.16892740477528,199.5,hep_2,
56.04096505310522,37.1689417022769,106.4,hep_2,
56.04098172121643,37.16895599979088,204.4,hep_2,
56.04099838932603,37.1689702973172,117.9,hep_2,
56.04101505743395,37.16898459485589,173.1,hep_2,
56.04103172554023,37.16899889240692,160.3,hep_2,
56.04104839364484,37.16901318997031,143.1,hep_2,
56.041065061747794,37.16902748754604,165.5,hep_2,
56.04108172984911,37.16904178513413,114.3,hep_2,
56.041098397948765,37.16905608273458,153.1,hep_2,
56.04111506604679,37.16907038034737,249.7,hep_2,
56.04113173414313,37.16908467797251,143.7,hep_2,
56.04114840223783,37.16909897561001,139.5,hep_2,
56.04116507033088,37.16911327325986,129.0,hep_2,
56.04118173842227,37.16912757092207,147.7,hep_2,
56.04119840651202,37.16914186859662,151.4,hep_2,
56.0412150746001,37.16915616628353,199.2,hep_2,
56.04123174268654,37.16917046398279,185.1,hep_2,
56.04124841077132,37.1691847616944,179.0,hep_2,
56.04126507885445,37.16919905941836,151.4,hep_2,
56.04128174693593,37.16921335715468,199.2,hep_2,
56.04129841501575,37.16922765490335,182.3,hep_2,
56.04131508309391,37.169241952664365,205.0,hep_2,
56.04133175117043,37.16925625043774,244.1,hep_2,
56.041348419245296,37.169270548223466,188.8,hep_2,
56.0413650873185,37.16928484602154,306.6,hep_2,
56.04138175539006,37.16929914383197,369.7,hep_2,
56.04139842345997,37.16931344165475,264.6,hep_2,
56.04141509152822,37.16932773948989,258.0,hep_2,
56.04143175959482,37.16934203733737,364.4,hep_2,
56.041448427659766,37.169356335197214,214.0,hep_2,
56.041465095723055,37.16937063306941,197.0,hep_2,
56.0414817637847,37.16938493095395,359.9,hep_2,
56.041498431844666,37.16939922885085,262.4,hep_2,
56.041515099903,37.1694135267601,245.0,hep_2,
56.04153176795968,37.1694278246817,309.0,hep_2,
56.04154843601472,37.16944212261566,348.0,hep_2,
56.04156510406808,37.16945642056197,347.0,hep_2,
56.04158177211981,37.16947071852062,253.0,hep_2,
56.04159844016988,37.16948501649164,307.0,hep_2,
56.04161510821828,37.16949931447501,173.1,hep_2,
56.04163177626505,37.16951361247072,277.2,hep_2,
56.04164844431016,37.16952791047879,309.3,hep_2,
56.04166511235361,37.169542208499216,165.6,hep_2,
56.04168178039542,37.169556506532,217.7,hep_2,
56.04169844843556,37.16957080457712,249.3,hep_2,
56.04171511647405,37.1695851026346,228.0,hep_2,
56.0417317845109,37.16959940070444,163.5,hep_2,
56.04175,37.169615,282.3,hep_2,
56.04175,37.169615,87.606,hep_1,
56.04177705148157,37.16964739397666,72.2514,hep_1,
56.04180410295464,37.16967978799875,74.4494,hep_1,
56.04183115441924,37.16971218206626,85.5964,hep_1,
56.041858205875336,37.16974457617919,109.5232,hep_1,
56.04188525732296,37.16977697033754,77.9348,hep_1,
56.04191230876209,37.16980936454132,54.5104,hep_1,
56.04193936019276,37.1698417587905,84.4032,hep_1,
56.04196641161492,37.169874153085125,89.3016,hep_1,
56.04199346302861,37.16990654742517,59.4402,hep_1,
56.04202051443378,37.16993894181062,126.8874,hep_1,
56.042047565830494,37.16997133624151,99.4752,hep_1,
56.04207461721872,37.17000373071781,122.7426,hep_1,
56.042101668598455,37.170036125239534,105.6296,hep_1,
56.042128719969696,37.17006851980669,121.2354,hep_1,
56.04215577133246,37.17010091441926,87.8258,hep_1,
56.04218282268674,37.17013330907725,146.6066,hep_1,
56.04220987403254,37.17016570378067,233.4276,hep_1,
56.04223692536984,37.17019809852951,205.5758,hep_1,
56.04226397669866,37.17023049332377,190.3154,hep_1,
56.042291028018994,37.17026288816346,140.5464,hep_1,
56.04231807933084,37.17029528304857,144.3458,hep_1,
